algorithm,input_size,case_type,trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
binary_search,60,best_case,3,5,3.850000211969018e-05,2216,True,,
interpolation_search,60,best_case,3,2,3.2599997211946175e-05,2216,True,,
exponential_search,60,best_case,3,10,6.600000051548705e-05,2216,True,,
fibonacci_search,60,best_case,3,6,2.9499999072868377e-05,2216,True,,
hashing_search,60,best_case,3,3,0.00011190000077476725,2216,True,2.0,33
linear_search,60,best_case,4,22,1.5499997971346602e-05,2216,True,,
binary_search,60,best_case,4,5,1.7700000171316788e-05,2216,True,,
interpolation_search,60,best_case,4,5,3.930000093532726e-05,2216,True,,
exponential_search,60,best_case,4,10,2.0399998902576044e-05,2216,True,,
fibonacci_search,60,best_case,4,6,1.8900002032751217e-05,2216,True,,
hashing_search,60,best_case,4,2,9.970000246539712e-05,2216,True,2.0,36
linear_search,60,best_case,5,2,1.0799998563015833e-05,2216,True,,
binary_search,60,best_case,5,5,2.3100001271814108e-05,2216,True,,
interpolation_search,60,best_case,5,3,3.49000001733657e-05,2216,True,,
exponential_search,60,best_case,5,10,3.0399998649954796e-05,2216,True,,
fibonacci_search,60,best_case,5,6,2.5699999241624027e-05,2216,True,,
hashing_search,60,best_case,5,1,0.0001267000006919261,2216,True,2.0,34
linear_search,70,best_case,1,50,2.9599999834317714e-05,2576,True,,
binary_search,70,best_case,1,6,3.110000034212135e-05,2576,True,,
interpolation_search,70,best_case,1,3,2.9999999242136255e-05,2576,True,,
exponential_search,70,best_case,1,11,3.4599997889017686e-05,2576,True,,
fibonacci_search,70,best_case,1,6,2.8500002372311428e-05,2576,True,,
hashing_search,70,best_case,1,6,0.00012229999992996454,2576,True,2.0,40
linear_search,70,best_case,2,20,1.4400000509340316e-05,2576,True,,
binary_search,70,best_case,2,6,4.11000000895001e-05,2576,True,,
interpolation_search,70,best_case,2,3,3.369999831193127e-05,2576,True,,
exponential_search,70,best_case,2,11,2.4099997972371057e-05,2576,True,,
fibonacci_search,70,best_case,2,6,4.789999729837291e-05,2576,True,,
hashing_search,70,best_case,2,2,0.00010779999865917489,2576,True,2.0,38
linear_search,70,best_case,3,62,3.899999865097925e-05,2576,True,,
binary_search,70,best_case,3,6,2.7499998395796865e-05,2576,True,,
interpolation_search,70,best_case,3,1,3.690000085043721e-05,2576,True,,
exponential_search,70,best_case,3,11,3.9200000173877925e-05,2576,True,,
fibonacci_search,70,best_case,3,6,3.680000008898787e-05,2576,True,,
hashing_search,70,best_case,3,2,9.890000001178123e-05,2576,True,2.0,38
linear_search,70,best_case,4,30,2.2800002625444904e-05,2576,True,,
binary_search,70,best_case,4,6,2.5000001187436283e-05,2576,True,,
interpolation_search,70,best_case,4,3,3.1200001103570685e-05,2576,True,,
exponential_search,70,best_case,4,11,3.7599998904624954e-05,2576,True,,
fibonacci_search,70,best_case,4,6,2.7800000680144876e-05,2576,True,,
hashing_search,70,best_case,4,2,0.00010470000052009709,2576,True,2.0,41
linear_search,70,best_case,5,17,1.3800003216601908e-05,2576,True,,
binary_search,70,best_case,5,6,2.0800001948373392e-05,2576,True,,
interpolation_search,70,best_case,5,3,3.640000068116933e-05,2576,True,,
exponential_search,70,best_case,5,11,2.2399999579647556e-05,2576,True,,
fibonacci_search,70,best_case,5,6,2.8399997972883284e-05,2576,True,,
hashing_search,70,best_case,5,2,0.0001081000009435229,2576,True,2.0,40
linear_search,80,best_case,1,9,1.1600001016631722e-05,2936,True,,
binary_search,80,best_case,1,6,2.7900001441594213e-05,2936,True,,
interpolation_search,80,best_case,1,3,2.5600002118153498e-05,2936,True,,
exponential_search,80,best_case,1,13,2.689999746507965e-05,2936,True,,
fibonacci_search,80,best_case,1,7,1.8599999748403206e-05,2936,True,,
hashing_search,80,best_case,1,1,0.0001049999991664663,2936,True,2.0,48
linear_search,80,best_case,2,43,1.9800001609837636e-05,2936,True,,
binary_search,80,best_case,2,6,2.8300000849412754e-05,2936,True,,
interpolation_search,80,best_case,2,3,5.439999949885532e-05,2936,True,,
exponential_search,80,best_case,2,13,2.6300000172341242e-05,2936,True,,
fibonacci_search,80,best_case,2,7,3.3300002542091534e-05,2936,True,,
hashing_search,80,best_case,2,1,0.0001593000015418511,2936,True,2.0,45
linear_search,80,best_case,3,74,3.269999797339551e-05,2936,True,,
binary_search,80,best_case,3,6,2.6100002287421376e-05,2936,True,,
interpolation_search,80,best_case,3,4,6.580000263056718e-05,2936,True,,
exponential_search,80,best_case,3,13,3.070000093430281e-05,2936,True,,
fibonacci_search,80,best_case,3,7,3.170000127283856e-05,2936,True,,
hashing_search,80,best_case,3,1,0.00011680000170599669,2936,True,2.0,44
linear_search,80,best_case,4,51,4.369999805931002e-05,2936,True,,
binary_search,80,best_case,4,6,4.229999831295572e-05,2936,True,,
interpolation_search,80,best_case,4,3,3.619999915827066e-05,2936,True,,
exponential_search,80,best_case,4,13,7.000000186963007e-05,2936,True,,
fibonacci_search,80,best_case,4,7,6.339999890769832e-05,2936,True,,
hashing_search,80,best_case,4,5,0.00017630000002100132,2936,True,2.0,45
linear_search,80,best_case,5,61,4.9199999921256676e-05,2936,True,,
binary_search,80,best_case,5,6,6.800000119255856e-05,2936,True,,
interpolation_search,80,best_case,5,1,4.310000076657161e-05,2936,True,,
exponential_search,80,best_case,5,13,3.9500002458225936e-05,2936,True,,
