trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
2,7,5.479999890667386e-05,2576,True,,
3,7,2.7500002033775672e-05,2576,True,,
4,7,1.8600003386382014e-05,2576,True,,
5,7,3.1600000511389226e-05,2576,True,,
1,5,3.51999988197349e-05,2936,True,,
2,7,2.5299999833805487e-05,2936,True,,
3,6,3.429999924264848e-05,2936,True,,
4,5,3.830000059679151e-05,2936,True,,
5,7,4.070000068168156e-05,2936,True,,
1,6,2.7900001441594213e-05,2936,True,,
2,6,2.8300000849412758e-05,2936,True,,
3,6,2.6100002287421376e-05,2936,True,,
4,6,4.229999831295572e-05,2936,True,,
5,6,6.800000119255856e-05,2936,True,,
1,7,4.4600001274375245e-05,2936,True,,
2,6,3.479999941191636e-05,2936,True,,
3,5,2.9299997549969703e-05,2936,True,,
4,7,4.24999998358544e-05,2936,True,,
5,6,4.400000034365803e-05,2936,True,,
1,7,3.0400002287933603e-05,2936,False,,
2,7,4.8099998821271583e-05,2936,False,,
3,7,4.940000144415535e-05,2936,False,,
4,7,3.889999788952992e-05,2936,False,,
5,7,3.469999865046702e-05,2936,False,,
1,7,2.780000068014488e-05,2936,True,,
2,7,2.3300002794712785e-05,2936,True,,
3,7,3.359999755048193e-05,2936,True,,
4,7,4.009999975096434e-05,2936,True,,
5,7,4.409999746712856e-05,2936,True,,
1,6,5.310000051395036e-05,3296,True,,
2,7,4.849999822909013e-05,3296,True,,
3,4,3.230000220355578e-05,3296,True,,
4,7,0.0001537999996799,3296,True,,
5,6,3.429999924264848e-05,3296,True,,
1,6,6.339999890769832e-05,3296,True,,
2,6,2.8299997211433947e-05,3296,True,,
3,6,4.400000034365803e-05,3296,True,,
4,6,4.6799999836366624e-05,3296,True,,
5,6,4.039999839733355e-05,3296,True,,
1,5,5.779999992228113e-05,3296,True,,
2,6,5.439999949885532e-05,3296,True,,
3,5,6.399999983841553e-05,3296,True,,
4,6,4.400000034365803e-05,3296,True,,
5,7,4.3000000005122274e-05,3296,True,,
1,7,3.479999941191636e-05,3296,False,,
2,7,3.450000076554716e-05,3296,False,,
3,7,3.559999822755344e-05,3296,False,,
4,7,3.810000271187164e-05,3296,False,,
5,7,3.360000118846074e-05,3296,False,,
1,7,4.020000051241368e-05,3296,True,,
2,7,3.579999975045212e-05,3296,True,,
3,7,3.650000144261867e-05,3296,True,,
4,7,4.199999966658652e-05,3296,True,,
5,7,4.099999932805076e-05,3296,True,,
1,6,3.079999805777334e-05,3656,True,,
2,6,3.189999915775843e-05,3656,True,,
3,5,4.199999966658652e-05,3656,True,,
4,7,5.169999712961726e-05,3656,True,,
5,6,5.579999924520962e-05,3656,True,,
1,6,5.919999966863543e-05,3656,True,,
2,6,5.459999738377519e-05,3656,True,,
3,6,6.760000178474002e-05,3656,True,,
4,6,6.10999995842576e-05,3656,True,,
5,6,4.3000000005122274e-05,3656,True,,
1,6,4.350000017439015e-05,3656,True,,
2,6,4.519999856711365e-05,3656,True,,
3,7,4.009999975096434e-05,3656,True,,
4,3,5.030000102124177e-05,3656,True,,
5,1,4.310000076657161e-05,3656,True,,
1,7,4.1700001020217314e-05,3656,False,,
2,7,4.230000195093453e-05,3656,False,,
3,7,3.6699999327538535e-05,3656,False,,
4,7,5.479999890667386e-05,3656,False,,
5,7,5.200000305194408e-05,3656,False,,
1,7,3.879999712808058e-05,3656,True,,
2,7,2.89999989036005e-05,3656,True,,
3,7,5.3899999329587445e-05,3656,True,,
4,7,5.040000178269111e-05,3656,True,,
5,7,5.020000025979243e-05,3656,True,,
1,3,4.740000076708384e-05,4016,True,,
2,6,5.360000068321824e-05,4016,True,,
3,7,4.84000011056196e-05,4016,True,,
5,7,5.999999848427251e-05,4016,True,,
1,6,4.160000025876798e-05,4016,True,,
2,6,3.769999966607429e-05,4016,True,,
3,6,3.849999848171137e-05,4016,True,,
4,6,6.289999873843044e-05,4016,True,,
5,6,4.719999924418517e-05,4016,True,,
1,3,5.429999873740599e-05,4016,True,,
2,7,4.73000000056345e-05,4016,True,,
3,3,5.590000000665896e-05,4016,True,,
4,6,6.600000051548705e-05,4016,True,,
5,5,6.579999899258837e-05,4016,True,,
1,7,3.82999969588127e-05,4016,False,,
2,7,3.520000245771371e-05,4016,False,,
3,7,3.699999797390774e-05,4016,False,,
4,7,4.489999992074445e-05,4016,False,,
5,7,4.389999958220869e-05,4016,False,,
1,7,3.859999924316071e-05,4016,True,,
2,7,4.470000203582458e-05,4016,True,,
3,7,4.690000059781596e-05,4016,True,,
4,7,4.669999907491729e-05,4016,True,,
5,7,3.789999755099416e-05,4016,True,,
1,7,5.919999966863543e-05,4376,True,,
2,5,5.2600000344682485e-05,4376,True,,
3,7,5.529999907594174e-05,4376,True,,
4,6,4.1700001020217314e-05,4376,True,,
5,5,4.4299998990027234e-05,4376,True,,
1,6,5.160000000614673e-05,4376,True,,
2,6,5.280000186758116e-05,4376,True,,
3,6,3.550000110408291e-05,4376,True,,
4,6,3.629999991972e-05,4376,True,,
5,6,3.03999986499548e-05,4376,True,,
1,6,5.149999924469739e-05,4376,True,,
2,6,5.230000169831328e-05,4376,True,,
3,6,7.030000051599927e-05,4376,True,,
4,6,4.830000034417026e-05,4376,True,,
5,7,5.410000085248612e-05,4376,True,,
1,7,3.9299997297348455e-05,4376,False,,
2,7,4.9299997044727206e-05,4376,False,,
3,7,3.949999882024713e-05,4376,False,,
4,7,3.849999848171137e-05,4376,False,,
5,7,4.990000161342323e-05,4376,False,,
1,7,4.690000059781596e-05,4376,True,,
2,7,3.6699999327538535e-05,4376,True,,
3,7,5.51999983144924e-05,4376,True,,
4,7,4.389999958220869e-05,4376,True,,
5,7,4.459999763639644e-05,4376,True,,
1,7,6.790000043110922e-05,4736,True,,
2,7,5.410000085248612e-05,4736,True,,
3,5,4.3000000005122274e-05,4736,True,,
4,7,4.320000152802095e-05,4736,True,,
5,4,5.509999755304307e-05,4736,True,,
1,7,4.2900002881651744e-05,4736,True,,
2,7,6.05000022915192e-05,4736,True,,
3,7,4.7999998059822246e-05,4736,True,,
4,7,6.349999966914766e-05,4736,True,,
5,7,5.789999704575166e-05,4736,True,,
1,6,5.099999907542952e-05,4736,True,,
2,7,5.620000229100697e-05,4736,True,,
3,6,7.560000085504726e-05,4736,True,,
4,7,5.4699998145224527e-05,4736,True,,
5,7,4.6799999836366624e-05,4736,True,,
1,8,3.859999924316071e-05,4736,False,,
2,8,3.9200000173877925e-05,4736,False,,
3,8,4.24999998358544e-05,4736,False,,
4,8,4.089999856660143e-05,4736,False,,
5,8,3.789999755099416e-05,4736,False,,
1,8,4.919999992125668e-05,4736,True,,
2,8,4.719999924418517e-05,4736,True,,
3,8,4.439999975147657e-05,4736,True,,
4,8,5.339999916031957e-05,4736,True,,
5,8,3.839999772026204e-05,4736,True,,
1,7,6.130000110715628e-05,5096,True,,
2,6,6.310000026132911e-05,5096,True,,
3,7,4.640000042854808e-05,5096,True,,
4,7,3.539999670465477e-05,5096,True,,
5,7,6.420000136131421e-05,5096,True,,
1,7,4.960000296705402e-05,5096,True,,
2,7,3.690000085043721e-05,5096,True,,
3,7,5.340000279829837e-05,5096,True,,
4,7,3.429999924264848e-05,5096,True,,
5,7,3.0300001526484263e-05,5096,True,,
1,5,5.160000000614673e-05,5096,True,,
2,6,4.6299999667098746e-05,5096,True,,
3,6,5.720000262954272e-05,5096,True,,
4,1,6.779999966965988e-05,5096,True,,
5,7,4.479999915929511e-05,5096,True,,
1,8,3.840000135824084e-05,5096,False,,
2,8,4.430000262800604e-05,5096,False,,
3,8,4.510000144364312e-05,5096,False,,
4,8,5.6400000175926834e-05,5096,False,,
5,8,4.3000000005122274e-05,5096,False,,
1,8,3.650000144261867e-05,5096,True,,
2,8,4.519999856711365e-05,5096,True,,
3,8,5.4600001021754e-05,5096,True,,
4,8,3.410000135772861e-05,5096,True,,
5,8,5.5500000598840415e-05,5096,True,,
1,8,5.299999975250103e-05,5456,True,,
2,7,5.439999949885532e-05,5456,True,,
3,4,4.660000195144676e-05,5456,True,,
4,7,5.6700002460274845e-05,5456,True,,
5,7,4.229999831295572e-05,5456,True,,
1,7,3.269999797339551e-05,5456,True,,
2,7,4.239999907440506e-05,5456,True,,
3,7,6.620000203838572e-05,5456,True,,
4,7,6.0599999414989725e-05,5456,True,,
5,7,6.209999992279336e-05,5456,True,,
1,7,4.5599997974932194e-05,5456,True,,
2,7,5.869999949936755e-05,5456,True,,
3,6,8.329999764100648e-05,5456,True,,
4,7,6.149999899207614e-05,5456,True,,
5,6,8.489999891025946e-05,5456,True,,
1,8,6.550000034621917e-05,5456,False,,
2,8,5.590000000665896e-05,5456,False,,
3,8,6.549999670824036e-05,5456,False,,
4,8,5.34999999217689e-05,5456,False,,
5,8,4.480000279727392e-05,5456,False,,
1,8,7.360000017797574e-05,5456,True,,
2,8,4.5500000851461664e-05,5456,True,,
3,8,4.400000034365803e-05,5456,True,,
4,8,5.590000000665896e-05,5456,True,,
5,8,6.539999958476983e-05,5456,True,,
1,5,4.989999797544442e-05,5816,True,,
2,7,4.2100000428035855e-05,5816,True,,
3,8,6.849999772384763e-05,5816,True,,
4,7,4.73000000056345e-05,5816,True,,
5,7,5.8099998568650335e-05,5816,True,,
1,7,4.930000068270601e-05,5816,True,,
2,7,6.08000009378884e-05,5816,True,,
3,7,5.020000025979243e-05,5816,True,,
4,7,5.619999865302816e-05,5816,True,,
5,7,4.529999932856299e-05,5816,True,,
1,7,5.6300003052456304e-05,5816,True,,
2,6,4.160000025876798e-05,5816,True,,
3,6,4.450000051292591e-05,5816,True,,
4,7,5.310000051395036e-05,5816,True,,
5,7,5.199999941396527e-05,5816,True,,
1,8,4.649999755201861e-05,5816,False,,
2,8,6.650000068475492e-05,5816,False,,
3,8,6.070000017643906e-05,5816,False,,
4,8,6.049999865354039e-05,5816,False,,
5,8,5.070000042906031e-05,5816,False,,
1,8,4.319999789004214e-05,5816,True,,
2,8,5.220000093686394e-05,5816,True,,
3,8,4.379999882075936e-05,5816,True,,
4,8,4.619999890564941e-05,5816,True,,
5,8,3.880000076605938e-05,5816,True,,
1,7,5.249999958323315e-05,6176,True,,
2,8,4.649999755201861e-05,6176,True,,
3,7,5.919999966863543e-05,6176,True,,
4,7,6.880000000819564e-05,6176,True,,
5,8,8.519999755662866e-05,6176,True,,
1,7,6.709999797749333e-05,6176,True,,
2,7,3.579999975045212e-05,6176,True,,
3,7,4.5500000851461664e-05,6176,True,,
4,7,4.640000042854808e-05,6176,True,,
5,7,7.790000017848797e-05,6176,True,,
1,7,6.67000022076536e-05,6176,True,,
2,7,5.329999839887023e-05,6176,True,,
3,7,6.009999924572185e-05,6176,True,,
4,3,6.199999916134402e-05,6176,True,,
5,6,6.599999687750824e-05,6176,True,,
1,8,4.8800000513438135e-05,6176,False,,
2,8,5.029999738326296e-05,6176,False,,
3,8,5.379999856813811e-05,6176,False,,
4,8,5.610000152955763e-05,6176,False,,
5,8,5.479999890667386e-05,6176,False,,
1,8,6.410000059986487e-05,6176,True,,
2,8,3.560000186553225e-05,6176,True,,
3,8,5.439999949885532e-05,6176,True,,
4,8,5.6400000175926834e-05,6176,True,,
5,8,6.130000110715628e-05,6176,True,,
1,8,7.030000051599927e-05,6536,True,,
2,7,7.439999899361283e-05,6536,True,,
3,7,7.270000060088933e-05,6536,True,,
4,8,7.130000085453503e-05,6536,True,,
5,7,5.490000330610201e-05,6536,True,,
1,7,5.9399997553555295e-05,6536,True,,
2,7,5.259999670670368e-05,6536,True,,
3,7,5.669999882229604e-05,6536,True,,
4,7,4.649999755201861e-05,6536,True,,
5,7,6.589999975403771e-05,6536,True,,
1,2,6.719999873894267e-05,6536,True,,
2,6,8.410000009462237e-05,6536,True,,
3,8,6.489999941550195e-05,6536,True,,
4,6,5.990000136080198e-05,6536,True,,
5,7,6.469999789260328e-05,6536,True,,
1,8,5.120000059832819e-05,6536,False,,
2,8,4.919999992125668e-05,6536,False,,
3,8,5.050000254414044e-05,6536,False,,
4,8,5.300000339047983e-05,6536,False,,
5,8,5.700000110664405e-05,6536,False,,
1,8,5.149999924469739e-05,6536,True,,
2,8,5.65999980608467e-05,6536,True,,
3,8,5.590000000665896e-05,6536,True,,
4,8,6.969999958528206e-05,6536,True,,
5,8,4.120000085094944e-05,6536,True,,
