algorithm,input_size,data_type,trial_id,comparisons,swaps,time_taken,memory_used,presortedness_score,duplicate_ratio,value_range
bubble_sort,30,random,4,399,241,0.0001364999989164,1136,0.446,0.0,92123
selection_sort,30,random,4,435,27,9.100000170292331e-05,1136,0.446,0.0,92123
insertion_sort,30,random,4,268,241,8.720000187167898e-05,1136,0.446,0.0,92123
merge_sort,30,random,4,112,148,0.000167499998497,1136,0.446,0.0,92123
quick_sort,30,random,4,120,77,0.0001290000000153,1136,0.446,0.0,92123
heap_sort,30,random,4,196,119,0.0001666999996814,1136,0.446,0.0,92123
radix_sort,30,random,4,0,150,0.000176300000021,1136,0.446,0.0,92123
bubble_sort,30,random,5,369,189,0.0001186000008601,1136,0.5655,0.0,95474
selection_sort,30,random,5,435,25,0.0001162000007752,1136,0.5655,0.0,95474
insertion_sort,30,random,5,216,189,7.059999916236848e-05,1136,0.5655,0.0,95474
merge_sort,30,random,5,113,148,0.0001698999985819,1136,0.5655,0.0,95474
quick_sort,30,random,5,109,79,0.0001285999969695,1136,0.5655,0.0,95474
heap_sort,30,random,5,196,121,0.0001703000016277,1136,0.5655,0.0,95474
radix_sort,30,random,5,0,150,0.0001779000012902,1136,0.5655,0.0,95474
bubble_sort,40,random,1,770,403,0.0002620999985083,1496,0.4833,0.0,96667
selection_sort,40,random,1,780,37,0.0001634000000194,1496,0.4833,0.0,96667
insertion_sort,40,random,1,438,403,0.0001549000007798,1496,0.4833,0.0,96667
merge_sort,40,random,1,164,216,0.0002722000026551,1496,0.4833,0.0,96667
quick_sort,40,random,1,195,111,0.0002029999996011,1496,0.4833,0.0,96667
heap_sort,40,random,1,314,185,0.0002980999997816,1496,0.4833,0.0,96667
radix_sort,40,random,1,0,200,0.0002619999977468,1496,0.4833,0.0,96667
bubble_sort,40,random,2,770,439,0.0002228000012109,1496,0.4372,0.0,93741
selection_sort,40,random,2,780,35,0.000157800001034,1496,0.4372,0.0,93741
insertion_sort,40,random,2,476,439,0.0001430000011168,1496,0.4372,0.0,93741
merge_sort,40,random,2,164,216,0.000207599998248,1496,0.4372,0.0,93741
quick_sort,40,random,2,178,112,0.0001541999990877,1496,0.4372,0.0,93741
heap_sort,40,random,2,307,183,0.0002275000006193,1496,0.4372,0.0,93741
radix_sort,40,random,2,0,200,0.0001897000001918,1496,0.4372,0.0,93741
bubble_sort,40,random,3,735,359,0.0002344999993511,1496,0.5397,0.0,96472
selection_sort,40,random,3,780,37,0.0001702000008663,1496,0.5397,0.0,96472
insertion_sort,40,random,3,392,359,0.0001672999969741,1496,0.5397,0.0,96472
merge_sort,40,random,3,155,216,0.0002564999995229,1496,0.5397,0.0,96472
quick_sort,40,random,3,195,141,0.0002158999996026,1496,0.5397,0.0,96472
heap_sort,40,random,3,302,181,0.0002803999996103,1496,0.5397,0.0,96472
radix_sort,40,random,3,0,200,0.0002468999991833,1496,0.5397,0.0,96472
bubble_sort,40,random,4,752,364,0.0002666000000317,1496,0.5333,0.0,97482
selection_sort,40,random,4,780,34,0.0001721999979054,1496,0.5333,0.0,97482
insertion_sort,40,random,4,401,364,0.0001501999977335,1496,0.5333,0.0,97482
merge_sort,40,random,4,169,216,0.0002711000015551,1496,0.5333,0.0,97482
quick_sort,40,random,4,197,121,0.0002186999990954,1496,0.5333,0.0,97482
heap_sort,40,random,4,311,182,0.0002917000019806,1496,0.5333,0.0,97482
radix_sort,40,random,4,0,200,0.0002682999984244,1496,0.5333,0.0,97482
bubble_sort,40,random,5,779,400,0.0002467000012984,1496,0.4872,0.0,97216
selection_sort,40,random,5,780,36,0.0001365999996778,1496,0.4872,0.0,97216
insertion_sort,40,random,5,436,400,0.0001320000010309,1496,0.4872,0.0,97216
merge_sort,40,random,5,164,216,0.0002084000007016,1496,0.4872,0.0,97216
quick_sort,40,random,5,228,138,0.0001742000022204,1496,0.4872,0.0,97216
heap_sort,40,random,5,311,186,0.000231399997574,1496,0.4872,0.0,97216
radix_sort,40,random,5,0,200,0.0001928999990923,1496,0.4872,0.0,97216
bubble_sort,50,random,1,1180,532,0.0003283000005467,1856,0.5657,0.0,97895
selection_sort,50,random,1,1225,40,0.0002051999981631,1856,0.5657,0.0,97895
insertion_sort,50,random,1,578,532,0.0001723000023048,1856,0.5657,0.0,97895
merge_sort,50,random,1,219,286,0.0002693999995244,1856,0.5657,0.0,97895
quick_sort,50,random,1,279,126,0.0001966999989235,1856,0.5657,0.0,97895
heap_sort,50,random,1,419,246,0.0003053000000363,1856,0.5657,0.0,97895
radix_sort,50,random,1,0,250,0.0002329999988432,1856,0.5657,0.0,97895
bubble_sort,50,random,2,1159,621,0.0003472999997029,1856,0.4931,0.0,95883
selection_sort,50,random,2,1225,43,0.0002066999986709,1856,0.4931,0.0,95883
insertion_sort,50,random,2,665,621,0.0002024999994318,1856,0.4931,0.0,95883
merge_sort,50,random,2,225,286,0.000270399999863,1856,0.4931,0.0,95883
quick_sort,50,random,2,247,154,0.0002047000016318,1856,0.4931,0.0,95883
heap_sort,50,random,2,419,245,0.0003069000013056,1856,0.4931,0.0,95883
radix_sort,50,random,2,0,250,0.0002309000010427,1856,0.4931,0.0,95883
bubble_sort,50,random,3,1215,631,0.0003443999994487,1856,0.4849,0.0,95500
selection_sort,50,random,3,1225,47,0.000207599998248,1856,0.4849,0.0,95500
insertion_sort,50,random,3,677,631,0.0002056000012089,1856,0.4849,0.0,95500
merge_sort,50,random,3,219,286,0.0002686000007088,1856,0.4849,0.0,95500
quick_sort,50,random,3,293,166,0.0002114000017172,1856,0.4849,0.0,95500
heap_sort,50,random,3,418,245,0.0003041000018129,1856,0.4849,0.0,95500
radix_sort,50,random,3,0,250,0.0002314999983354,1856,0.4849,0.0,95500
bubble_sort,50,random,4,1204,532,0.0003255999981774,1856,0.5657,0.0,93908
selection_sort,50,random,4,1225,46,0.0002069000001938,1856,0.5657,0.0,93908
insertion_sort,50,random,4,579,532,0.0001744000001053,1856,0.5657,0.0,93908
merge_sort,50,random,4,219,286,0.0002687000014702,1856,0.5657,0.0,93908
quick_sort,50,random,4,258,182,0.0002113000009558,1856,0.5657,0.0,93908
heap_sort,50,random,4,417,248,0.0003065999990212,1856,0.5657,0.0,93908
radix_sort,50,random,4,0,250,0.0002423000005364,1856,0.5657,0.0,93908
bubble_sort,50,random,5,1189,671,0.0003452999990258,1856,0.4522,0.0,93207
selection_sort,50,random,5,1225,45,0.0002058999998553,1856,0.4522,0.0,93207
insertion_sort,50,random,5,714,671,0.0002185999983339,1856,0.4522,0.0,93207
merge_sort,50,random,5,222,286,0.0002701999983401,1856,0.4522,0.0,93207
quick_sort,50,random,5,237,168,0.000200099999347,1856,0.4522,0.0,93207
heap_sort,50,random,5,406,233,0.0003042999996978,1856,0.4522,0.0,93207
radix_sort,50,random,5,0,250,0.000231400001212,1856,0.4522,0.0,93207
bubble_sort,60,random,1,1755,941,0.0005000000019208,2216,0.4684,0.0,97382
selection_sort,60,random,1,1770,55,0.0002896000005421,2216,0.4684,0.0,97382
insertion_sort,60,random,1,995,941,0.000301700001728,2216,0.4684,0.0,97382
merge_sort,60,random,1,276,356,0.0003461000014794,2216,0.4684,0.0,97382
quick_sort,60,random,1,309,205,0.0002449999992677,2216,0.4684,0.0,97382
heap_sort,60,random,1,520,297,0.0004723000020021,2216,0.4684,0.0,97382
radix_sort,60,random,1,0,300,0.0003727999974216,2216,0.4684,0.0,97382
bubble_sort,60,random,2,1760,857,0.0006739000018569,2216,0.5158,0.0,98745
selection_sort,60,random,2,1770,55,0.0003728999981831,2216,0.5158,0.0,98745
insertion_sort,60,random,2,910,857,0.0003680000008898,2216,0.5158,0.0,98745
merge_sort,60,random,2,287,356,0.0004250999991199,2216,0.5158,0.0,98745
quick_sort,60,random,2,385,274,0.0003767999987758,2216,0.5158,0.0,98745
heap_sort,60,random,2,516,303,0.0004598000014084,2216,0.5158,0.0,98745
radix_sort,60,random,2,0,300,0.0003469000002951,2216,0.5158,0.0,98745
bubble_sort,60,random,3,1764,932,0.0006498000002466,2216,0.4734,0.0,92170
selection_sort,60,random,3,1770,56,0.0003623999982664,2216,0.4734,0.0,92170
insertion_sort,60,random,3,989,932,0.0003784999971685,2216,0.4734,0.0,92170
merge_sort,60,random,3,289,356,0.0004101000013179,2216,0.4734,0.0,92170
quick_sort,60,random,3,296,182,0.0002875000027415,2216,0.4734,0.0,92170
heap_sort,60,random,3,517,296,0.000458400001662,2216,0.4734,0.0,92170
radix_sort,60,random,3,0,300,0.0003414000020711,2216,0.4734,0.0,92170
bubble_sort,60,random,4,1665,917,0.0006167999999888,2216,0.4819,0.0,91650
selection_sort,60,random,4,1770,55,0.0003949999991164,2216,0.4819,0.0,91650
insertion_sort,60,random,4,972,917,0.0003847000007226,2216,0.4819,0.0,91650
merge_sort,60,random,4,278,356,0.0004086000008101,2216,0.4819,0.0,91650
quick_sort,60,random,4,287,194,0.0002969000015582,2216,0.4819,0.0,91650
heap_sort,60,random,4,508,295,0.0004688999979407,2216,0.4819,0.0,91650
radix_sort,60,random,4,0,300,0.0003481000021565,2216,0.4819,0.0,91650
bubble_sort,60,random,5,1767,974,0.0006609999982174,2216,0.4497,0.0,96890
selection_sort,60,random,5,1770,54,0.0003973999992012,2216,0.4497,0.0,96890
insertion_sort,60,random,5,1030,974,0.0003987999989476,2216,0.4497,0.0,96890
merge_sort,60,random,5,275,356,0.0004067999980179,2216,0.4497,0.0,96890
quick_sort,60,random,5,320,228,0.0003203000014764,2216,0.4497,0.0,96890
heap_sort,60,random,5,524,300,0.0004461000025912,2216,0.4497,0.0,96890
radix_sort,60,random,5,0,300,0.0003597000031732,2216,0.4497,0.0,96890
bubble_sort,70,random,1,2244,1143,0.0010421000006317,2576,0.5267,0.0,97052
selection_sort,70,random,1,2415,65,0.0004927999980282,2576,0.5267,0.0,97052
insertion_sort,70,random,1,1209,1143,0.000495199998113,2576,0.5267,0.0,97052
merge_sort,70,random,1,350,432,0.0005003000005672,2576,0.5267,0.0,97052
quick_sort,70,random,1,349,222,0.0003572000023268,2576,0.5267,0.0,97052
heap_sort,70,random,1,652,375,0.0005898999988858,2576,0.5267,0.0,97052
radix_sort,70,random,1,0,350,0.0004055999997945,2576,0.5267,0.0,97052
bubble_sort,70,random,2,2414,1143,0.000850000000355,2576,0.5267,0.0,99146
selection_sort,70,random,2,2415,65,0.000492099999974,2576,0.5267,0.0,99146
insertion_sort,70,random,2,1210,1143,0.0004582000001391,2576,0.5267,0.0,99146
merge_sort,70,random,2,340,432,0.0004890999989584,2576,0.5267,0.0,99146
quick_sort,70,random,2,381,236,0.0003913000000466,2576,0.5267,0.0,99146
heap_sort,70,random,2,648,373,0.0005564999992202,2576,0.5267,0.0,99146
radix_sort,70,random,2,0,350,0.000400199998694,2576,0.5267,0.0,99146
bubble_sort,70,random,3,2379,1204,0.0008326999995915,2576,0.5014,0.0,94933
selection_sort,70,random,3,2415,62,0.0004683999977714,2576,0.5014,0.0,94933
insertion_sort,70,random,3,1267,1204,0.0004769999977725,2576,0.5014,0.0,94933
merge_sort,70,random,3,347,432,0.00046939999811,2576,0.5014,0.0,94933
quick_sort,70,random,3,392,196,0.0002864000016415,2576,0.5014,0.0,94933
heap_sort,70,random,3,646,372,0.0004732000015792,2576,0.5014,0.0,94933
radix_sort,70,random,3,0,350,0.0003228999994462,2576,0.5014,0.0,94933
bubble_sort,70,random,4,2387,1221,0.0006871000005048,2576,0.4944,0.0143,97417
selection_sort,70,random,4,2415,67,0.0003879999967466,2576,0.4944,0.0143,97417
insertion_sort,70,random,4,1287,1221,0.0003911999992851,2576,0.4944,0.0143,97417
merge_sort,70,random,4,344,432,0.0004068999987794,2576,0.4944,0.0143,97417
quick_sort,70,random,4,440,292,0.0003367000026628,2576,0.4944,0.0143,97417
heap_sort,70,random,4,645,370,0.0005583999991358,2576,0.4944,0.0143,97417
radix_sort,70,random,4,0,350,0.0004483000011532,2576,0.4944,0.0143,97417
bubble_sort,70,random,5,2405,1124,0.0006627000002481,2576,0.5346,0.0,95460
selection_sort,70,random,5,2415,64,0.0003799999976763,2576,0.5346,0.0,95460
insertion_sort,70,random,5,1188,1124,0.0003572999994503,2576,0.5346,0.0,95460
merge_sort,70,random,5,348,432,0.0004074999997101,2576,0.5346,0.0,95460
quick_sort,70,random,5,369,245,0.0002932999996119,2576,0.5346,0.0,95460
heap_sort,70,random,5,649,378,0.0004895999991276,2576,0.5346,0.0,95460
radix_sort,70,random,5,0,350,0.0003180999992764,2576,0.5346,0.0,95460
bubble_sort,80,random,1,3139,1601,0.0008429999979853,2936,0.4934,0.0,98800
selection_sort,80,random,1,3160,75,0.0004923999986203,2936,0.4934,0.0,98800
insertion_sort,80,random,1,1677,1601,0.0005052999986219,2936,0.4934,0.0,98800
merge_sort,80,random,1,410,512,0.0004766000020026,2936,0.4934,0.0,98800
quick_sort,80,random,1,498,351,0.0003840999997919,2936,0.4934,0.0,98800
heap_sort,80,random,1,767,443,0.0005658000009134,2936,0.4934,0.0,98800
radix_sort,80,random,1,0,400,0.0003655000000435,2936,0.4934,0.0,98800
bubble_sort,80,random,2,3139,1338,0.0008218999973905,2936,0.5766,0.0,98395
selection_sort,80,random,2,3160,76,0.0004958999998052,2936,0.5766,0.0,98395
insertion_sort,80,random,2,1414,1338,0.0004181999975116,2936,0.5766,0.0,98395
merge_sort,80,random,2,410,512,0.0004760999981954,2936,0.5766,0.0,98395
quick_sort,80,random,2,473,300,0.0003852000008919,2936,0.5766,0.0,98395
heap_sort,80,random,2,776,450,0.0006820000016887,2936,0.5766,0.0,98395
radix_sort,80,random,2,0,400,0.0003656000008049,2936,0.5766,0.0,98395
bubble_sort,80,random,3,3154,1569,0.0008739000004425,2936,0.5035,0.0,96013
selection_sort,80,random,3,3160,71,0.0004929999995511,2936,0.5035,0.0,96013
insertion_sort,80,random,3,1643,1569,0.0004912999975204,2936,0.5035,0.0,96013
merge_sort,80,random,3,405,512,0.0005865999992238,2936,0.5035,0.0,96013
quick_sort,80,random,3,507,331,0.0005052000014984,2936,0.5035,0.0,96013
heap_sort,80,random,3,765,441,0.0006945000022824,2936,0.5035,0.0,96013
radix_sort,80,random,3,0,400,0.0005149999997229,2936,0.5035,0.0,96013
bubble_sort,80,random,4,3160,1639,0.0010827000005519,2936,0.4813,0.0,98436
selection_sort,80,random,4,3160,73,0.0005133999984536,2936,0.4813,0.0,98436
insertion_sort,80,random,4,1712,1639,0.0006909000003361,2936,0.4813,0.0,98436
merge_sort,80,random,4,414,512,0.0005640999988827,2936,0.4813,0.0,98436
quick_sort,80,random,4,507,215,0.0004004000002169,2936,0.4813,0.0,98436
heap_sort,80,random,4,764,435,0.0006659000027866,2936,0.4813,0.0,98436
radix_sort,80,random,4,0,400,0.0005005999992135,2936,0.4813,0.0,98436
bubble_sort,80,random,5,3139,1762,0.0012779999997292,2936,0.4424,0.0,98961
selection_sort,80,random,5,3160,76,0.0006734000016876,2936,0.4424,0.0,98961
insertion_sort,80,random,5,1836,1762,0.0007949999999254,2936,0.4424,0.0,98961
merge_sort,80,random,5,400,512,0.0006212999978743,2936,0.4424,0.0,98961
quick_sort,80,random,5,509,314,0.0004975999981979,2936,0.4424,0.0,98961
heap_sort,80,random,5,764,434,0.0007291000001714,2936,0.4424,0.0,98961
radix_sort,80,random,5,0,400,0.0004985999985365,2936,0.4424,0.0,98961
bubble_sort,90,random,1,3705,1721,0.0013914999981352,3296,0.5703,0.0,99477
selection_sort,90,random,1,4005,83,0.0008827000019664,3296,0.5703,0.0,99477
insertion_sort,90,random,1,1805,1721,0.000764500000514,3296,0.5703,0.0,99477
merge_sort,90,random,1,473,592,0.0007301000005099,3296,0.5703,0.0,99477
quick_sort,90,random,1,509,222,0.0004832000013266,3296,0.5703,0.0,99477
heap_sort,90,random,1,899,521,0.0008569999990868,3296,0.5703,0.0,99477
radix_sort,90,random,1,0,450,0.0005649000013363,3296,0.5703,0.0,99477
bubble_sort,90,random,2,3927,2272,0.0016069000012066,3296,0.4327,0.0,97196
selection_sort,90,random,2,4005,88,0.0008515000008628,3296,0.4327,0.0,97196
insertion_sort,90,random,2,2356,2272,0.0009938000002875,3296,0.4327,0.0,97196
merge_sort,90,random,2,480,592,0.0007373000007646,3296,0.4327,0.0,97196
quick_sort,90,random,2,522,357,0.0005345999998098,3296,0.4327,0.0,97196
heap_sort,90,random,2,889,504,0.0008465999999316,3296,0.4327,0.0,97196
radix_sort,90,random,2,0,450,0.0005638999973598,3296,0.4327,0.0,97196
bubble_sort,90,random,3,4002,1983,0.0015305000015359,3296,0.5049,0.0,95216
selection_sort,90,random,3,4005,85,0.0008515000008628,3296,0.5049,0.0,95216
insertion_sort,90,random,3,2070,1983,0.0008218000002671,3296,0.5049,0.0,95216
merge_sort,90,random,3,484,592,0.0007053999979689,3296,0.5049,0.0,95216
quick_sort,90,random,3,524,329,0.0005120999994687,3296,0.5049,0.0,95216
heap_sort,90,random,3,900,515,0.0007807000001776,3296,0.5049,0.0,95216
radix_sort,90,random,3,0,450,0.0005110000020067,3296,0.5049,0.0,95216
bubble_sort,90,random,4,3950,1966,0.0014369999989867,3296,0.5091,0.0,97625
selection_sort,90,random,4,4005,86,0.0008636000020487,3296,0.5091,0.0,97625
insertion_sort,90,random,4,2051,1966,0.000839200001792,3296,0.5091,0.0,97625
merge_sort,90,random,4,479,592,0.0007001000012678,3296,0.5091,0.0,97625
quick_sort,90,random,4,554,315,0.0004918999984511,3296,0.5091,0.0,97625
heap_sort,90,random,4,899,508,0.0007752000019536,3296,0.5091,0.0,97625
radix_sort,90,random,4,0,450,0.0005205999987083,3296,0.5091,0.0,97625
bubble_sort,90,random,5,3900,2064,0.0014674999983981,3296,0.4846,0.0,99074
selection_sort,90,random,5,4005,84,0.0008439000012003,3296,0.4846,0.0,99074
insertion_sort,90,random,5,2150,2064,0.0008750000015425,3296,0.4846,0.0,99074
merge_sort,90,random,5,479,592,0.0006847000004199,3296,0.4846,0.0,99074
quick_sort,90,random,5,577,319,0.0005042000011599,3296,0.4846,0.0,99074
heap_sort,90,random,5,898,506,0.00079050000204,3296,0.4846,0.0,99074
radix_sort,90,random,5,0,450,0.0005821999984618,3296,0.4846,0.0,99074
bubble_sort,100,random,1,4950,2530,0.0020087999982933,3656,0.4889,0.0,99315
selection_sort,100,random,1,4950,96,0.0010579999980109,3656,0.4889,0.0,99315
insertion_sort,100,random,1,2622,2530,0.0008809000028122,3656,0.4889,0.0,99315
merge_sort,100,random,1,536,672,0.0006536999972013,3656,0.4889,0.0,99315
quick_sort,100,random,1,631,345,0.0004487999976845,3656,0.4889,0.0,99315
heap_sort,100,random,1,1036,582,0.0007230000010167,3656,0.4889,0.0,99315
radix_sort,100,random,1,0,500,0.0004690999994636,3656,0.4889,0.0,99315
bubble_sort,100,random,2,4760,2115,0.0012040000001434,3656,0.5727,0.0,98096
selection_sort,100,random,2,4950,97,0.0007430000005115,3656,0.5727,0.0,98096
merge_sort,100,random,2,536,672,0.0006195999994815,3656,0.5727,0.0,98096
quick_sort,100,random,2,717,468,0.0006228999991435,3656,0.5727,0.0,98096
heap_sort,100,random,2,1031,587,0.0010331999983463,3656,0.5727,0.0,98096
radix_sort,100,random,2,0,500,0.000493199997436,3656,0.5727,0.0,98096
bubble_sort,100,random,3,4845,2252,0.0012545000026875,3656,0.5451,0.0,98439
selection_sort,100,random,3,4950,96,0.0007355999987339,3656,0.5451,0.0,98439
insertion_sort,100,random,3,2345,2252,0.0006869999997434,3656,0.5451,0.0,98439
merge_sort,100,random,3,544,672,0.0006345000001601,3656,0.5451,0.0,98439
quick_sort,100,random,3,540,299,0.000398900003347,3656,0.5451,0.0,98439
heap_sort,100,random,3,1039,578,0.0007360999989032,3656,0.5451,0.0,98439
radix_sort,100,random,3,0,500,0.000447600003099,3656,0.5451,0.0,98439
bubble_sort,100,random,4,4947,2568,0.0013447999990603,3656,0.4812,0.0,93546
selection_sort,100,random,4,4950,94,0.000772200000938,3656,0.4812,0.0,93546
insertion_sort,100,random,4,2663,2568,0.0007651999985682,3656,0.4812,0.0,93546
merge_sort,100,random,4,542,672,0.0006259000001591,3656,0.4812,0.0,93546
quick_sort,100,random,4,631,425,0.0004795999993802,3656,0.4812,0.0,93546
heap_sort,100,random,4,1037,590,0.0007368999977188,3656,0.4812,0.0,93546
