input_size,comparisons,swaps_or_shifts,presortedness_score,duplicate_ratio,value_range,probes,collision_count,domain,algorithm,input_condition
40,311.0,182.0,0.5333,0.0,97482.0,0.0,0.0,sorting,heap_sort,random
40,0.0,200.0,0.5333,0.0,97482.0,0.0,0.0,sorting,radix_sort,random
40,779.0,400.0,0.4872,0.0,97216.0,0.0,0.0,sorting,bubble_sort,random
40,780.0,36.0,0.4872,0.0,97216.0,0.0,0.0,sorting,selection_sort,random
40,164.0,216.0,0.4872,0.0,97216.0,0.0,0.0,sorting,merge_sort,random
40,228.0,138.0,0.4872,0.0,97216.0,0.0,0.0,sorting,quick_sort,random
40,311.0,186.0,0.4872,0.0,97216.0,0.0,0.0,sorting,heap_sort,random
40,0.0,200.0,0.4872,0.0,97216.0,0.0,0.0,sorting,radix_sort,random
50,1180.0,532.0,0.5657,0.0,97895.0,0.0,0.0,sorting,bubble_sort,random
50,1225.0,40.0,0.5657,0.0,97895.0,0.0,0.0,sorting,selection_sort,random
50,578.0,532.0,0.5657,0.0,97895.0,0.0,0.0,sorting,insertion_sort,random
50,219.0,286.0,0.5657,0.0,97895.0,0.0,0.0,sorting,merge_sort,random
50,279.0,126.0,0.5657,0.0,97895.0,0.0,0.0,sorting,quick_sort,random
50,1159.0,621.0,0.4931,0.0,95883.0,0.0,0.0,sorting,bubble_sort,random
50,1225.0,43.0,0.4931,0.0,95883.0,0.0,0.0,sorting,selection_sort,random
50,665.0,621.0,0.4931,0.0,95883.0,0.0,0.0,sorting,insertion_sort,random
50,225.0,286.0,0.4931,0.0,95883.0,0.0,0.0,sorting,merge_sort,random
50,247.0,154.0,0.4931,0.0,95883.0,0.0,0.0,sorting,quick_sort,random
50,1215.0,631.0,0.4849,0.0,95500.0,0.0,0.0,sorting,bubble_sort,random
50,1225.0,47.0,0.4849,0.0,95500.0,0.0,0.0,sorting,selection_sort,random
50,677.0,631.0,0.4849,0.0,95500.0,0.0,0.0,sorting,insertion_sort,random
50,219.0,286.0,0.4849,0.0,95500.0,0.0,0.0,sorting,merge_sort,random
50,293.0,166.0,0.4849,0.0,95500.0,0.0,0.0,sorting,quick_sort,random
50,1204.0,532.0,0.5657,0.0,93908.0,0.0,0.0,sorting,bubble_sort,random
50,1225.0,46.0,0.5657,0.0,93908.0,0.0,0.0,sorting,selection_sort,random
50,579.0,532.0,0.5657,0.0,93908.0,0.0,0.0,sorting,insertion_sort,random
50,219.0,286.0,0.5657,0.0,93908.0,0.0,0.0,sorting,merge_sort,random
50,258.0,182.0,0.5657,0.0,93908.0,0.0,0.0,sorting,quick_sort,random
50,1189.0,671.0,0.4522,0.0,93207.0,0.0,0.0,sorting,bubble_sort,random
50,1225.0,45.0,0.4522,0.0,93207.0,0.0,0.0,sorting,selection_sort,random
50,714.0,671.0,0.4522,0.0,93207.0,0.0,0.0,sorting,insertion_sort,random
50,222.0,286.0,0.4522,0.0,93207.0,0.0,0.0,sorting,merge_sort,random
50,237.0,168.0,0.4522,0.0,93207.0,0.0,0.0,sorting,quick_sort,random
60,1755.0,941.0,0.4684,0.0,97382.0,0.0,0.0,sorting,bubble_sort,random
60,1770.0,55.0,0.4684,0.0,97382.0,0.0,0.0,sorting,selection_sort,random
60,995.0,941.0,0.4684,0.0,97382.0,0.0,0.0,sorting,insertion_sort,random
60,276.0,356.0,0.4684,0.0,97382.0,0.0,0.0,sorting,merge_sort,random
60,309.0,205.0,0.4684,0.0,97382.0,0.0,0.0,sorting,quick_sort,random
60,0.0,300.0,0.4684,0.0,97382.0,0.0,0.0,sorting,radix_sort,random
60,1760.0,857.0,0.5158,0.0,98745.0,0.0,0.0,sorting,bubble_sort,random
60,1770.0,55.0,0.5158,0.0,98745.0,0.0,0.0,sorting,selection_sort,random
60,910.0,857.0,0.5158,0.0,98745.0,0.0,0.0,sorting,insertion_sort,random
60,287.0,356.0,0.5158,0.0,98745.0,0.0,0.0,sorting,merge_sort,random
60,385.0,274.0,0.5158,0.0,98745.0,0.0,0.0,sorting,quick_sort,random
60,0.0,300.0,0.5158,0.0,98745.0,0.0,0.0,sorting,radix_sort,random
60,1764.0,932.0,0.4734,0.0,92170.0,0.0,0.0,sorting,bubble_sort,random
60,1770.0,56.0,0.4734,0.0,92170.0,0.0,0.0,sorting,selection_sort,random
60,989.0,932.0,0.4734,0.0,92170.0,0.0,0.0,sorting,insertion_sort,random
60,289.0,356.0,0.4734,0.0,92170.0,0.0,0.0,sorting,merge_sort,random
60,296.0,182.0,0.4734,0.0,92170.0,0.0,0.0,sorting,quick_sort,random
60,0.0,300.0,0.4734,0.0,92170.0,0.0,0.0,sorting,radix_sort,random
60,1665.0,917.0,0.4819,0.0,91650.0,0.0,0.0,sorting,bubble_sort,random
60,1770.0,55.0,0.4819,0.0,91650.0,0.0,0.0,sorting,selection_sort,random
60,972.0,917.0,0.4819,0.0,91650.0,0.0,0.0,sorting,insertion_sort,random
60,278.0,356.0,0.4819,0.0,91650.0,0.0,0.0,sorting,merge_sort,random
60,287.0,194.0,0.4819,0.0,91650.0,0.0,0.0,sorting,quick_sort,random
60,0.0,300.0,0.4819,0.0,91650.0,0.0,0.0,sorting,radix_sort,random
60,1767.0,974.0,0.4497,0.0,96890.0,0.0,0.0,sorting,bubble_sort,random
60,1770.0,54.0,0.4497,0.0,96890.0,0.0,0.0,sorting,selection_sort,random
60,1030.0,974.0,0.4497,0.0,96890.0,0.0,0.0,sorting,insertion_sort,random
60,275.0,356.0,0.4497,0.0,96890.0,0.0,0.0,sorting,merge_sort,random
60,320.0,228.0,0.4497,0.0,96890.0,0.0,0.0,sorting,quick_sort,random
60,0.0,300.0,0.4497,0.0,96890.0,0.0,0.0,sorting,radix_sort,random
70,2244.0,1143.0,0.5267,0.0,97052.0,0.0,0.0,sorting,bubble_sort,random
70,2415.0,65.0,0.5267,0.0,97052.0,0.0,0.0,sorting,selection_sort,random
70,1209.0,1143.0,0.5267,0.0,97052.0,0.0,0.0,sorting,insertion_sort,random
70,350.0,432.0,0.5267,0.0,97052.0,0.0,0.0,sorting,merge_sort,random
70,349.0,222.0,0.5267,0.0,97052.0,0.0,0.0,sorting,quick_sort,random
70,652.0,375.0,0.5267,0.0,97052.0,0.0,0.0,sorting,heap_sort,random
70,2414.0,1143.0,0.5267,0.0,99146.0,0.0,0.0,sorting,bubble_sort,random
70,2415.0,65.0,0.5267,0.0,99146.0,0.0,0.0,sorting,selection_sort,random
70,1210.0,1143.0,0.5267,0.0,99146.0,0.0,0.0,sorting,insertion_sort,random
70,340.0,432.0,0.5267,0.0,99146.0,0.0,0.0,sorting,merge_sort,random
70,381.0,236.0,0.5267,0.0,99146.0,0.0,0.0,sorting,quick_sort,random
70,648.0,373.0,0.5267,0.0,99146.0,0.0,0.0,sorting,heap_sort,random
70,2379.0,1204.0,0.5014,0.0,94933.0,0.0,0.0,sorting,bubble_sort,random
70,2415.0,62.0,0.5014,0.0,94933.0,0.0,0.0,sorting,selection_sort,random
70,1267.0,1204.0,0.5014,0.0,94933.0,0.0,0.0,sorting,insertion_sort,random
70,347.0,432.0,0.5014,0.0,94933.0,0.0,0.0,sorting,merge_sort,random
70,392.0,196.0,0.5014,0.0,94933.0,0.0,0.0,sorting,quick_sort,random
70,646.0,372.0,0.5014,0.0,94933.0,0.0,0.0,sorting,heap_sort,random
70,2387.0,1221.0,0.4944,0.0143,97417.0,0.0,0.0,sorting,bubble_sort,random
70,2415.0,67.0,0.4944,0.0143,97417.0,0.0,0.0,sorting,selection_sort,random
70,1287.0,1221.0,0.4944,0.0143,97417.0,0.0,0.0,sorting,insertion_sort,random
70,344.0,432.0,0.4944,0.0143,97417.0,0.0,0.0,sorting,merge_sort,random
70,440.0,292.0,0.4944,0.0143,97417.0,0.0,0.0,sorting,quick_sort,random
70,645.0,370.0,0.4944,0.0143,97417.0,0.0,0.0,sorting,heap_sort,random
70,2405.0,1124.0,0.5346,0.0,95460.0,0.0,0.0,sorting,bubble_sort,random
70,2415.0,64.0,0.5346,0.0,95460.0,0.0,0.0,sorting,selection_sort,random
70,1188.0,1124.0,0.5346,0.0,95460.0,0.0,0.0,sorting,insertion_sort,random
70,348.0,432.0,0.5346,0.0,95460.0,0.0,0.0,sorting,merge_sort,random
70,369.0,245.0,0.5346,0.0,95460.0,0.0,0.0,sorting,quick_sort,random
70,649.0,378.0,0.5346,0.0,95460.0,0.0,0.0,sorting,heap_sort,random
80,3139.0,1601.0,0.4934,0.0,98800.0,0.0,0.0,sorting,bubble_sort,random
80,3160.0,75.0,0.4934,0.0,98800.0,0.0,0.0,sorting,selection_sort,random
80,410.0,512.0,0.4934,0.0,98800.0,0.0,0.0,sorting,merge_sort,random
80,498.0,351.0,0.4934,0.0,98800.0,0.0,0.0,sorting,quick_sort,random
80,767.0,443.0,0.4934,0.0,98800.0,0.0,0.0,sorting,heap_sort,random
80,0.0,400.0,0.4934,0.0,98800.0,0.0,0.0,sorting,radix_sort,random
80,3139.0,1338.0,0.5766,0.0,98395.0,0.0,0.0,sorting,bubble_sort,random
80,3160.0,76.0,0.5766,0.0,98395.0,0.0,0.0,sorting,selection_sort,random
80,410.0,512.0,0.5766,0.0,98395.0,0.0,0.0,sorting,merge_sort,random
80,473.0,300.0,0.5766,0.0,98395.0,0.0,0.0,sorting,quick_sort,random
80,776.0,450.0,0.5766,0.0,98395.0,0.0,0.0,sorting,heap_sort,random
80,0.0,400.0,0.5766,0.0,98395.0,0.0,0.0,sorting,radix_sort,random
80,3154.0,1569.0,0.5035,0.0,96013.0,0.0,0.0,sorting,bubble_sort,random
80,3160.0,71.0,0.5035,0.0,96013.0,0.0,0.0,sorting,selection_sort,random
80,405.0,512.0,0.5035,0.0,96013.0,0.0,0.0,sorting,merge_sort,random
80,507.0,331.0,0.5035,0.0,96013.0,0.0,0.0,sorting,quick_sort,random
80,765.0,441.0,0.5035,0.0,96013.0,0.0,0.0,sorting,heap_sort,random
80,0.0,400.0,0.5035,0.0,96013.0,0.0,0.0,sorting,radix_sort,random
80,3160.0,1639.0,0.4813,0.0,98436.0,0.0,0.0,sorting,bubble_sort,random
80,3160.0,73.0,0.4813,0.0,98436.0,0.0,0.0,sorting,selection_sort,random
80,414.0,512.0,0.4813,0.0,98436.0,0.0,0.0,sorting,merge_sort,random
80,507.0,215.0,0.4813,0.0,98436.0,0.0,0.0,sorting,quick_sort,random
80,764.0,435.0,0.4813,0.0,98436.0,0.0,0.0,sorting,heap_sort,random
80,0.0,400.0,0.4813,0.0,98436.0,0.0,0.0,sorting,radix_sort,random
80,3139.0,1762.0,0.4424,0.0,98961.0,0.0,0.0,sorting,bubble_sort,random
80,3160.0,76.0,0.4424,0.0,98961.0,0.0,0.0,sorting,selection_sort,random
80,400.0,512.0,0.4424,0.0,98961.0,0.0,0.0,sorting,merge_sort,random
80,509.0,314.0,0.4424,0.0,98961.0,0.0,0.0,sorting,quick_sort,random
80,764.0,434.0,0.4424,0.0,98961.0,0.0,0.0,sorting,heap_sort,random
80,0.0,400.0,0.4424,0.0,98961.0,0.0,0.0,sorting,radix_sort,random
90,4005.0,83.0,0.5703,0.0,99477.0,0.0,0.0,sorting,selection_sort,random
90,899.0,521.0,0.5703,0.0,99477.0,0.0,0.0,sorting,heap_sort,random
90,0.0,450.0,0.5703,0.0,99477.0,0.0,0.0,sorting,radix_sort,random
90,4005.0,88.0,0.4327,0.0,97196.0,0.0,0.0,sorting,selection_sort,random
